outcome,F_stat,p_value,verdict
lst_day_mean,3.18621316888824,0.007967667470174482,FAIL
lst_night_mean,1.972053492842873,0.08227128156614798,MARGINAL
lst_summer_mean,1.36817103843198,0.23575651053492236,PASS
lst_dtr,0.829719836363013,0.5292182064671105,PASS
lst_heat_days,1.0559681371049252,0.38473116404482455,PASS
